City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,piti village,13.4626,144.6933,302.21,87,20,6.17,GU,1731278785
154,kharp,66.8014,65.8081,255.48,91,37,4.51,RU,1731278786
155,st. john's,47.5649,-52.7093,275.91,63,0,13.89,CA,1731278487
156,iskateley,67.6803,53.1512,264.31,93,18,3.12,RU,1731278788
157,longyearbyen,78.2186,15.6401,270.06,93,75,1.03,SJ,1731278625
158,waddan,29.1614,16.139,293.16,36,99,3.96,LY,1731278790
159,turkmenbasy,40.0222,52.9552,278.58,81,0,3.09,TM,1731278792
160,necochea,-38.5473,-58.7368,285.6,91,100,3.34,AR,1731278703
161,ouesso,1.6136,16.0517,293.18,95,78,0.21,CG,1731278794
162,fort bragg,35.139,-79.006,293.06,78,100,0.0,US,1731278628
163,ishigaki,24.3448,124.1572,297.22,88,75,3.09,JP,1731278796
164,alice springs,-23.7,133.8833,292.9,77,20,1.03,AU,1731278720
165,warmbad,-28.45,18.7333,286.05,76,0,3.62,NA,1731278798
166,illizi,26.4833,8.4667,294.12,27,100,3.35,DZ,1731278800
167,eyl,7.9803,49.8164,299.53,76,98,7.05,SO,1731278626
168,ryotsu-minato,38.0833,138.4333,287.76,63,89,1.65,JP,1731278802
169,tyukhtet,56.5389,89.3011,273.4,87,100,7.88,RU,1731278803
170,kapa'a,22.0752,-159.319,300.33,82,100,6.17,US,1731278804
171,palmer,42.1584,-72.3287,285.66,50,75,4.12,US,1731278735
172,port mathurin,-19.6833,63.4167,297.31,81,84,9.38,MU,1731278806
173,lensk,60.7253,114.9278,258.16,99,100,1.9,RU,1731278721
174,nicoya,10.1483,-85.452,296.8,95,100,1.33,CR,1731278809
175,piney green,34.716,-77.3202,294.2,84,100,2.58,US,1731278810
176,vila franca do campo,37.7167,-25.4333,293.38,99,92,4.97,PT,1731278811
177,kushiro,42.975,144.3747,284.68,76,100,3.09,JP,1731278812
178,armenia,40.0,45.0,273.64,44,100,1.79,AM,1731278813
179,kununurra,-15.7667,128.7333,303.14,74,54,2.57,AU,1731278814
180,dubrowna,54.5733,30.6906,276.29,88,95,0.82,BY,1731278816
181,turpan,42.9333,89.1667,281.15,50,0,1.63,CN,1731278817
182,chonchi,-42.6128,-73.8092,284.33,86,30,3.26,CL,1731278819
183,smara,26.7384,-11.6719,296.17,36,4,3.08,EH,1731278820
184,skikda,36.8762,6.9092,291.61,72,96,6.52,DZ,1731278821
185,umm kaddadah,13.6017,26.6876,298.2,22,90,7.2,SD,1731278823
186,zalingei,12.9096,23.4741,296.86,26,100,3.65,SD,1731278824
187,dudinka,69.4058,86.1778,248.98,97,73,3.57,RU,1731278825
188,znamenskoye,57.1281,73.8282,264.69,87,98,4.63,RU,1731278826
189,pokhvistnevo,53.6524,52.1274,270.36,80,8,2.93,RU,1731278827
190,cruzeiro do sul,-29.5128,-51.9853,293.62,70,0,1.65,BR,1731278828
191,kinkala,-4.3614,14.7644,293.43,98,92,0.35,CG,1731278830
192,kailua-kona,19.6406,-155.9956,301.13,84,40,4.63,US,1731278831
193,hithadhoo,-0.6,73.0833,301.14,72,87,6.01,MV,1731278617
194,allapalli,19.4167,80.0667,291.41,79,1,0.72,IN,1731278833
